item_part_a,lpn_nbr_anterior,lpn_nbr_nuevo
7424676205997,CSDIUNSA2500003241,H4126457
8338025023141,CSDIUNSA2500003251,H4109203
4897065765779,CSDIUNSA2500003264,H4109258
4897065765779,CSDIUNSA2500003265,H4109257
4897065765779,CSDIUNSA2500003266,H4109256
7424676228309,CSDIUNSA2500003242,H4126459
4897065765762,CSDIUNSA2500003259,H3796926
4897065765762,CSDIUNSA2500003258,H3796925
4897065765762,CSDIUNSA2500003260,H3796924
4897065765762,CSDIUNSA2500003261,H3796923
7450014549928,CSDIUNSA2500003232,H4023287
7450014549928,CSDIUNSA2500003233,H4023276
4897065752779,CSDIUNSA2500003252,H4109219
4897065752779,CSDIUNSA2500003253,H4109218
4897065752779,CSDIUNSA2500003254,H4109217
4897065752779,CSDIUNSA2500003255,H4109216
4897065752779,CSDIUNSA2500003256,H4109215
4897065752779,CSDIUNSA2500003257,H4109214
4897065760613,CSDIUNSA2500003267,H4128961
4897065760613,CSDIUNSA2500003268,H4128962
7453092268507,CSDIUNSA2500003244,H4126460
6951800665477,CSDIUNSA2500003245,H4137812
6951800665477,CSDIUNSA2500003246,H4137813
6951800665477,CSDIUNSA2500003247,H4137814
6951800665477,CSDIUNSA2500003248,H4137815
6951800665477,CSDIUNSA2500003249,H4137816
6951800665477,CSDIUNSA2500003250,H4137817
018595810126,CSDIUNSA2500003272,H4126455
3911914151894,CSDIUNSA2500003240,H4126830
7424676230050,CSDIUNSA2500003243,H4126458
4897065760453,CSDIUNSA2500003269,H4138996
4897065760453,CSDIUNSA2500003270,H4138995
4897065760453,CSDIUNSA2500003271,H4138994
7450037683395,CSDIUNSA2500003234,H3796951
7450037683395,CSDIUNSA2500003235,H3796950
7450037683395,CSDIUNSA2500003236,H3796949
731015194957,CSDIUNSA2500003263,H4126457
7450014633900,CSDIUNSA2500003237,H4128943
7450014633900,CSDIUNSA2500003238,H4128944
7424650598039,CSDIUNSA2500003239,H4126456
018595809571,CSDIUNSA2500003262,H4086509
